Title,URL,Overview,Category,Sub-Category,Course Type,Skills,Instructors,Rating,Number of viewers,Duration,Level,Softwares
Understanding Financial Markets,https://www.coursera.org/learn/understanding-financial-markets?specialization=investment-management,"In this course, you will learn what the main financial markets and their characteristics are as well as how they are linked to the economy. ",Business,Finance,Course,"Bond Market,Interest Rate,Stock,Financial Markets,",University of Geneva- Ines Chaieb,4.8stars,"5,456",Approx. 10 hours to complete,Beginner,
Applying Data Analytics in Marketing,https://www.coursera.org/learn/applying-data-analytics-business-in-marketing?specialization=analytics,"This course introduces students to marketing analytics through a wide range of analytical tools and approaches. We will discuss causal analysis, survey analysis using regression, textual analysis (sentiment analysis), and network analysis. This course aims to provide the foundation required to make better marketing decisions by analyzing multiple types of data related to customer satisfaction.",Business,Marketing,Course,"Marketing,regression,Analytics,Data Analysis,Marketing Analytics,",Unnati Narang,4.5stars,133,Approx. 13 hours to complete,Intermediate,
Statistics for Data Science with Python,https://www.coursera.org/learn/statistics-for-data-science-python?specialization=data-science-fundamentals-python-sql,"This Statistics for Data Science course is designed to introduce you to the basic principles of statistical methods and procedures used for data analysis. After completing this course you will have practical knowledge of crucial topics in statistics including  - data gathering, summarizing data using descriptive statistics, displaying and visualizing data, examining relationships between variables, probability distributions, expected values, hypothesis testing, introduction to ANOVA (analysis of variance), regression and correlation analysis. You will take a hands-on approach to statistical analysis using Python and Jupyter Notebooks – the tools of choice for Data Scientists and Data Analysts. ",Data Science,Probability and Statistics,Course,"Probability And Statistics,Regression Analysis,Data Visualization (DataViz),Statistical Hypothesis Testing,Basic Descriptive Statistics,",Murtaza Haider,4.5stars,304,Approx. 14 hours to complete,Beginner,
Managing an Agile Team,https://www.coursera.org/learn/uva-darden-agile-team-management?specialization=uva-darden-digital-product-management,"While agile has become the de facto standard for managing digital innovation teams, many wonder if they're doing it ‘right'. Twitter is full of jokes about how teams say they do agile but don't ‘really' do it. The reality is that getting the most out of agile is less about observing specific procedures and more about how a team focuses and measures their progress. ",Computer Science,Design and Product,Course,"agile product management,Agile Software Development,backlog management,Kanban,XP,",Alex Cowan,4.7stars,"1,263",Approx. 10 hours to complete,Beginner,
"Excel/VBA for Creative Problem Solving, Part 2",https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-2?specialization=excel-vba-creative-problem-solving,"""Excel/VBA for Creative Problem Solving, Part 2"" builds off of knowledge and skills obtained in ""Excel/VBA for Creative Problem Solving, Part 1"" and is aimed at learners who are seeking to augment, expand, optimize, and increase the efficiency of their Excel spreadsheet skills by tapping into the powerful programming, automation, and customization capabilities available with Visual Basic for Applications (VBA).",Computer Science,Algorithms,Course,,Charlie Nuttelman,4.9stars,"1,246",Approx. 20 hours to complete,Intermediate,
Developing Data Models with LookML,https://www.coursera.org/learn/developing-data-models-with-lookml?specialization=creating-business-value-with-data-and-looker,"This course empowers you to develop scalable, performant LookML (Looker Modeling Language) models that provide your business users with the standardized, ready-to-use data that they need to answer their questions. Upon completing this course, you will be able to start building and maintaining LookML models to curate and manage data in your organization's Looker instance.",Data Science,Data Analysis,Course,,Google Cloud Training,4.7stars,38,Approx. 5 hours to complete,Intermediate,
Teach English Now! Capstone Project 2,https://www.coursera.org/learn/teaching-english-capstone-2?specialization=tesol-certificate-2,"In the final Capstone Project, you will apply the skills you learned by doing practice teaching.  You will build on your assignments from the previous courses to refine your lesson plans and video-tape yourself presenting the lesson.  You will submit a total of ten videos.  If you have completed Teach English Now! Part 1 and Teach English Now! Part 2, you will submit your work for expert review to receive your ASU 150-hour TESOL Certificate from ASU, in addition to your Coursera certificates.",Language Learning,Learning English,Course,,Jessica Cinco,4.9stars,878,Approx. 24 hours to complete,Beginner,
Human Factors in AI,https://www.coursera.org/learn/human-factors-in-artificial-intelligence?specialization=ai-product-management-duke,"This third and final course of the AI Product Management Specialization by Duke University's Pratt School of Engineering focuses on the critical human factors in developing AI-based products.  The course begins with an introduction to human-centered design and the unique elements of user experience design for AI products.  Participants will then learn about the role of data privacy in AI systems, the challenges of designing ethical AI, and approaches to identify sources of bias and mitigate fairness issues.  The course concludes with a comparison of human intelligence and artificial intelligence, and a discussion of the ways that AI can be used to both automate as well as assist human decision-making.",Data Science,Machine Learning,Course,"Machine Learning,Privacy,Design Thinking,Ethics,",Jon Reifschneider,4.9stars,24,Approx. 17 hours to complete,Beginner,
Input and Interaction,https://www.coursera.org/learn/interaction-techniques?specialization=interaction-design,"In this course, you will learn relevant fundamentals of human motor performance, perception, and cognition that inform effective interaction design. You will use these models of how people work to design more effective input and interaction techniques. You'll apply these to both traditional graphic and gestural interfaces.",Computer Science,Design and Product,Course,,Scott  Klemmer,4.6stars,707,Approx. 9 hours to complete,Beginner,
Six Sigma Advanced Define and Measure Phases,https://www.coursera.org/learn/six-sigma-define-measure-advanced?specialization=six-sigma-green-belt,"This course is for you if you are looking to dive deeper into Six Sigma or strengthen and expand your knowledge of the basic components of green belt level of Six Sigma and Lean. Six Sigma skills are widely sought by employers both nationally and internationally. These skills have been proven to help improve business processes and performance. This course will take you deeper into the principles and tools associated with the ""Define"" and ""Measure"" phases of the DMAIC structure of Six Sigma.",Business,Leadership and Management,Course,,"Christina Scherrer, PhD",4.7stars,"1,106",Approx. 15 hours to complete,Intermediate,
Networking in Google Cloud: Hybrid Connectivity and Network Management,https://www.coursera.org/learn/networking-gcp-hybrid-connectivity-network-management?specialization=networking-google-cloud-platform,"This self-paced training course builds on the Networking in Google Cloud: Defining and Implementing Networks course and enhances the study of networking options on Google Cloud. Through recorded lectures, demonstrations, and hands-on labs, you explore and deploy Google Cloud networking technologies, such as common network design patterns, connectivity to Google Cloud VPC networks, and private connection options. The course also covers optimizing network performance and cost by using Network Service Tiers. You will also learn about billing and pricing. The course concludes by covering monitoring and logging features that can help you troubleshoot your Google Cloud network infrastructure.",Information Technology,Networking,Course,,Google Cloud Training,4.8stars,"1,018",Approx. 7 hours to complete,Intermediate,
Intro to International Marketing,https://www.coursera.org/learn/intro-international-marketing?specialization=international-marketing,About this Course,Business,Marketing,Course,"Global Marketing,Marketing,Brand Management,Marketing Strategy,",Dae Ryun Chang,4.7stars,948,Approx. 7 hours to complete,Beginner,
Artificial Intelligence: An Overview,https://www.coursera.org/learn/artificial-intelligence-an-overview?specialization=artificial-intelligence-overview,"The course will provide a non-technical overview of the artificial intelligence field. Initially, a discussion on the birth of AI is provided, remarking the seminal ideas and preliminary goals. Furthermore, the crucial weaknesses are presented and how these weaknesses have been circumvented. Then, the current state of AI is presented, in terms of goals, importance at national level, and strategies. Moreover, the taxonomy of the AI topics is presented.",Computer Science,Algorithms,Course,,Nicola Gatti,4.7stars,63,Approx. 7 hours to complete,Beginner,
Essential Design Principles for Tableau,https://www.coursera.org/learn/dataviz-design?specialization=data-visualization,"In this course, you will analyze and apply essential design principles to your Tableau visualizations. This course assumes you understand the tools within Tableau and have some knowledge of the fundamental concepts of data visualization. You will define and examine the similarities and differences of exploratory and explanatory analysis as well as begin to ask the right questions about what's needed in a visualization. You will assess how data and design work together, including how to choose the appropriate visual representation for your data, and the difference between effective and ineffective visuals. You will apply effective best practice design principles to your data visualizations and be able to illustrate examples of strategic use of contrast to highlight important elements. You will evaluate pre-attentive attributes and why they are important in visualizations. You will exam the importance of using the ""right"" amount of color and in the right place and be able to apply design principles to de-clutter your data visualization.",Data Science,Data Analysis,Course,"Data Analysis,Tableau Software,Data Virtualization,Data Visualization (DataViz),",Govind Acharya,4.4stars,"1,898",Approx. 12 hours to complete,Beginner,
Effective Compliance Programs,https://www.coursera.org/learn/effective-compliance-programs?specialization=regulatory-compliance,"Once you have an understanding of what compliance is, and why it may be important, it is natural to wonder next, “What should I do about it?”  In this course, we'll explore one of the key factors for creating a positive culture of compliance: human psychology. We'll think about what drives us, what makes us pay attention, what distracts, and how all of these pieces help build a strong belief in an organizational culture of compliance. ",Business,Business Essentials,Course,"Management,Strategic Planning,Compliance,Organizational Behavior,",Lauren Steinfeld,4.9stars,604,Approx. 11 hours to complete,Beginner,
Customising your models with TensorFlow 2,https://www.coursera.org/learn/customising-models-tensorflow2?specialization=tensorflow2-deeplearning,Welcome to this course on Customising your models with TensorFlow 2!,Data Science,Machine Learning,Course,"Tensorflow,Deep Learning,keras,",Dr Kevin Webster,4.8stars,173,Approx. 27 hours to complete,Intermediate,
Healthcare Marketplace,https://www.coursera.org/learn/healthcare-marketplace?specialization=healthcare-marketplace,"In this course in the Healthcare Marketplace specialization you will identify, define, and describe potential business and public policy solutions to the challenges facing society's growing demand for health services.  Students will master a body of knowledge on the health care sectors major components through reading and reflection.  ",Business,Finance,Course,"Healthcare Management,Insurance,Healthcare Marketing,Medical Device,",Stephen T Parente,4.5stars,583,Approx. 20 hours to complete,Beginner,
"Excel/VBA for Creative Problem Solving, Part 3 (Projects)",https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-3-projects?specialization=excel-vba-creative-problem-solving,"In this course, learners will complete several VBA projects.  It is highly recommended that learners first take ""Excel/VBA for Creative Problem Solving, Part 1"" and ""Excel/VBA for Creative Problem Solving, Part 2"".  This course builds off of skills learned in those two courses.  This is a project-based course.  Therefore, the projects are quite open-ended and there are multiple ways to solve the problems.  Through the use of Peer Review, other learners will grade learners' projects based on a grading rubric.",Computer Science,Algorithms,Course,,Charlie Nuttelman,4.9stars,420,Approx. 16 hours to complete,Advanced,
Supply Chain Management Strategy,https://www.coursera.org/learn/supply-chain-management-strategy?specialization=supply-chain-management,"Have you ever wondered what it takes to manage a successful supply chain? It all comes down to the right strategy. Supply Chain Management Strategy is the indispensable direction for managing a successful supply chain.  This course is the capstone of the Supply Chain Management specialization. While, it is strongly recommended that you take all courses in this specialization, you do not have to if you believe you already have those skills. You will use the tools acquired in the previous four courses to create a supply chain management strategy in a real-life case scenario. At the completion of this course you will have shown mastery of the tools and techniques to successfully manage a complex network of companies that we call the supply chain.",Business,Business Strategy,Course,"Supply Chain Strategy,Supply Chain Risk Management,Supply Chain,","Rudolf Leuschner, Ph.D.",4.8stars,962,Approx. 13 hours to complete,Beginner,
Accounting Analysis I: The Role of Accounting as an Information System,https://www.coursera.org/learn/accounting-information-system?specialization=financial-reporting,"This course is the first course in a five-course Financial Reporting Specialization that covers the collection, processing, and communication of accounting information (via financial reports) about economic entities to interested parties (i.e., managers and external stakeholders such as stockholders and creditors).  To gain the most relevant knowledge from these courses, learners should have taken a basic accounting course prior to this Specialization (which can be done through Coursera courses, such as any accounting course from the Fundamentals of Accounting Specialization: https://www.coursera.org/specializations/accounting-fundamentals). This Specialization focuses on accounting concepts, principles and theory with an emphasis on problems that arise in applying these concepts for external reporting purposes.  Specific emphasis is placed on measurement of assets, liabilities, equities and income, as well as disclosure of additional information that may assist users understand the financial reports.  ",Business,Business Essentials,Course,,"Gregory L. Davis, CPA, CMA, CFM, CCM",4.8stars,613,Approx. 25 hours to complete,Intermediate,
Teaching Popular Music in the Classroom,https://www.coursera.org/learn/teaching-popular-music?specialization=music-education,"Teaching Popular Music in the Classroom explores approaches to teaching popular music from culturally rich communities in the United States. Students in the course will learn teaching methods that engage youth with the basics of improvisation, technology, songwriting, arranging film score, and writing to the strengths of small bands. The course models how to integrate principles of authentic cultural relevance and positive youth development with contemporary music instruction, while providing tools for assessing and documenting learning and program progress.  ",Social Sciences,Education,Course,"Music,classroom management,Curriculum Design,Teaching,Learning,",Krystal Banfield,4.7stars,83,Approx. 8 hours to complete,Intermediate,
Managing Employee Performance,https://www.coursera.org/learn/employee-performance?specialization=human-resource-management,"Once you have hired good employees, the next step that successful people managers take is to develop the full potential of their employees.  Performance management is a process that helps managers achieve the goal of getting the best from their employees. ",Business,Business Essentials,Course,"Performance Appraisal,Human Resources (HR),Performance Management,Organizational Culture,",Larry Bourgerie,4.7stars,"2,385",Approx. 15 hours to complete,Beginner,
Design your own trading strategy – Culminating Project,https://www.coursera.org/learn/design-trading-strategy-culminating-project?specialization=trading-strategy,"In the culminating project, you will develop new trading strategies, evaluate them using the tools learned in the course, integrate them with the existing portfolio and also develop a plan to start a hedge fund.",Business,Finance,Course,,Ramabhadran Thirumalai,4.5stars,97,Approx. 21 hours to complete,Intermediate,
Digital Media and Marketing Principles,https://www.coursera.org/learn/marketing-channels?specialization=digital-marketing,"The Digital Revolution has led to a titanic shift in the landscape of marketing communications, while also creating new opportunities for businesses to reach and engage consumers through smart, social, and mobile media technologies. In this course, you will learn about the impacts of digital technologies on marketing communication strategies and practices. By understanding the underlying processes of marketing communication and the core features of new media technologies, you can strategically select the appropriate channels to deliver the right marketing message to the right audience at the right moment.",Business,Marketing,Course,"Digital Marketing,Marketing Channel,Social Media,Mobile Marketing,Integrated Marketing Communications,",Mike Yao,4.4stars,"2,748",Approx. 20 hours to complete,Beginner,
Introduction to Game Design,https://www.coursera.org/learn/game-design?specialization=game-design,"Welcome! This course is an introduction to the primary concepts of gaming, and an exploration of how these basic concepts affect the way gamers interact with our games. In this course you will understand what defines a “game” and the mechanics and rules behind different types of games. Through four linked assignments you'll learn ways to create and describe a game concept, and specifically what makes a compelling game. This course focuses on the conceptual underpinnings of games, and all assignments can be completed with a pencil and paper – no previous programming knowledge is required.",Arts and Humanities,Music and Art,Course,"Video Game Development,Gameplay,Video Game Design,Game Design,",Fran Krause,4.7stars,"2,618",Approx. 6 hours to complete,Beginner,
Finding Mutations in DNA and Proteins (Bioinformatics VI),https://www.coursera.org/learn/dna-mutations?specialization=bioinformatics,"In previous courses in the Specialization, we have discussed how to sequence and compare genomes. This course will cover advanced topics in finding mutations lurking within DNA and proteins.",Health,Health Informatics,Course,,Pavel  Pevzner,4.7stars,57,Approx. 23 hours to complete,Intermediate,
Experimental Methods in Systems Biology,https://www.coursera.org/learn/experimental-methods?specialization=systems-biology,"Learn about the technologies underlying experimentation used in systems biology, with particular focus on RNA sequencing, mass spec-based proteomics, flow/mass cytometry and live-cell imaging.",Health,Research,Course,,"Marc Birtwistle, PhD",4.5stars,294,Approx. 18 hours to complete,Beginner,
Supporting Families and Caregivers,https://www.coursera.org/learn/supporting-families-and-caregivers?specialization=palliative-care-always,"This course takes a deep dive into the challenges families and friends of a patient with serious illness face and how you can care for and support them as a provider, social worker or family friend.  Supporting Families and Caregivers especially focuses on the children of a patient with serious illness and their caregiver, and teaches you the best way to empower them to get the support they need. By the end of this course, you will be able to provide critical avenues of support for the people who are instrumental to your patients care, wellbeing and quality of life.",Health,Patient Care,Course,"Caregiver Support,Palliative Care,Psychosocial Support,Child Guidance,",Kavitha Ramchandran,4.2stars,16,Approx. 10 hours to complete,Beginner,
Introduction to Business Analytics with R,https://www.coursera.org/learn/business-analytics-r?specialization=analytics,"Nearly every aspect of business is affected by data analytics. For businesses to capitalize on data analytics, they need leaders who understand the business analytic workflow. This course addresses the human skills gap by providing a foundational set of data processing skills that can be applied to many business settings.",Business,Business Essentials,Course,"Business Analytics,R Programming,Rstudio,",Ronald Guymon,4.6stars,168,Approx. 16 hours to complete,Beginner,
Probability Theory: Foundation for Data Science,https://www.coursera.org/learn/probability-theory-foundation-for-data-science?specialization=statistical-inference-for-data-science-applications,"Understand the foundations of probability and its relationship to statistics and data science.  We'll learn what it means to calculate a probability, independent and dependent outcomes, and conditional events.  We'll study discrete and continuous random variables and see how this fits with data collection.  We'll end the course with Gaussian (normal) random variables and the Central Limit Theorem and understand its fundamental importance for all of statistics and data science.",Data Science,Probability and Statistics,Course,"Probability,central limit theorem,continuous random variables,Bayes' Theorem,discrete random variables,",Anne Dougherty,4.4stars,112,Approx. 47 hours to complete,Intermediate,
Prediction Models with Sports Data,https://www.coursera.org/learn/prediction-models-sports-data?specialization=sports-analytics,"In this course the learner will be shown how to generate forecasts of game results in professional sports using Python. The main emphasis of the course is on teaching the method of logistic regression as a way of modeling game results, using data on team expenditures. The learner is taken through the process of modeling past results, and then using the model to forecast the outcome games not yet played. The course will show the learner how to evaluate the reliability of a model using data on betting odds. The analysis is applied first to the English Premier League, then the NBA and NHL. The course also provides an overview of the relationship between data analytics and gambling, its history and the social issues that arise in relation to sports betting, including the personal risks.",Data Science,Data Analysis,Course,,Youngho Park,4.7stars,24,Approx. 33 hours to complete,Intermediate,
Planning your Client's Wealth over a 5-year Horizon,https://www.coursera.org/learn/wealth-planning-capstone?specialization=investment-management,"In this Capstone project, you will have to choose between three different characters (each with a unique set of financial constraints and objectives) and design an appropriate wealth plan for them over the next 5 years.",Business,Finance,Course,"Investment Management,Microsoft Excel,Finance,Investment,",University of Geneva- Michel Girardin,4.7stars,377,Approx. 13 hours to complete,Beginner,
Market Risk Management: Frameworks & Strategies,https://www.coursera.org/learn/market-risk-management?specialization=risk-management,"This course provides the foundation for understanding the frameworks used to develop market risk management strategies. You will identify the market risks associated with each type of financial instrument. You will be introduced to techniques for estimating the risk associated with each class of investments. By the end of the course, you will be able to select the most effective derivatives for managing risk of a single asset and a portfolio of assets, develop asset selection strategies for managing risk in a portfolio, and model risk associated with a single asset and a portfolio of assets. ",Business,Finance,Course,"Market Risk Management,Financial Risk Modeling,Designing a Stress Test,",Jack Farmer,4.6stars,45,Approx. 7 hours to complete,Beginner,
Ethical Issues in Data Science,https://www.coursera.org/learn/ethical-issues-data-science?specialization=vital-skills-for-data-science,"Computing applications involving large amounts of data – the domain of data science – impact the lives of most people in the U.S. and the world. These impacts include recommendations made to us by internet-based systems, information that is available about us online, techniques that are used for security and surveillance, data that is used in health care, and many more.  In many cases, they are affected by techniques in artificial intelligence and machine learning.",Data Science,Data Analysis,Course,"Data Science,Ethics,Algorithms,Privacy,Philosophy,",Bobby Schnabel,4.6stars,26,Approx. 23 hours to complete,Beginner,
Easing Physical Symptoms: It's Not Just Hospice Anymore,https://www.coursera.org/learn/easing-physical-symptoms?specialization=palliative-care,"Palliative care provides important support for people living with serious or life-limiting illnesses and their family caregivers. In this course, you will learn to use symptom assessment tools to better understand which symptoms are present and which are most distressing. In subsequent weeks you will learn about some of the most common and distressing symptoms such as anorexia (loss of appetite), dyspnea (shortness of breath), fatigue (weakness), delirium(confusion) and constipation and nausea/vomiting. For each of these symptoms, you will learn about the underlying cause and potential ways to support people and their families to manage the symptoms with simple practical and non-medical approaches as well as a review of medications as appropriate. In addition, you will learn to help people with their emotional response to symptoms and loss of function.",Health,Patient Care,Course,,Regina Fink,4.8stars,79,Approx. 14 hours to complete,Beginner,
Arranging for Songwriters,https://www.coursera.org/learn/arranging-for-songwriters?specialization=music-education,"You've created a song. You wrote the lyrics, decided on the melody, and maybe even recorded a simple demo. Now what? If you have a basic knowledge of how to use a digital audio workstation (DAW) and are passionate about being a songwriter, this course will help you take your song from a simple recording on your phone to a fully arranged song ready for the recording studio.",Arts and Humanities,Music and Art,Course,"Music,arranging,Songwriting,Writing,",Sarah Brindell,4.5stars,68,Approx. 9 hours to complete,Intermediate,
Web Application Technologies and Django,https://www.coursera.org/learn/django-database-web-apps?specialization=django,"In this course, you'll explore the basic structure of a web application, and how a web browser interacts with a web server. You'll be introduced to the Hypertext Transfer Protocol (HTTP) request/response cycle, including GET/POST/Redirect. You'll also gain an introductory understanding of Hypertext Markup Language (HTML), as well as the overall structure of a Django application.  We will explore the Model-View-Controller (MVC) pattern for web applications and how it relates to Django.  You will learn how to deploy a Django application using a service like PythonAnywhere so that it is available over the Internet. ",Computer Science,Mobile and Web Development,Course,"Cascading Style Sheets (CSS),HTML,Hypertext Transfer Protocol (HTTP),SQL,Django (Web Framework),",Charles Russell Severance,4.7stars,"1,722",Approx. 15 hours to complete,Intermediate,
Solving Problems with Creative and Critical Thinking,https://www.coursera.org/learn/solving-problems-with-creative-and-critical-thinking?specialization=people-and-soft-skills-for-professional-success,"In order to find a solution, one needs to be able to analyze a problem. This short course is designed to teach you how to solve and analyze problems effectively with critical and creative thinking. ",Personal Development,Personal Development,Course,"Professional Development,Soft skills,Problem Solving,Creative Thinking,Critical Thinking,",Skills Network,4.6stars,68,Approx. 3 hours to complete,Beginner,
Sales Force Management,https://www.coursera.org/learn/sales-force-management?specialization=sales-operations,"The second course in the Sales Operations/Management Specialization, Sales Force Management covers various aspects of hiring and personnel administration. Students will learn about job design and recruitment processes, tools of recruitment, the role of training in sales force development, and motivating salespeople to perform the tasks critical to an organization's success.",Business,Leadership and Management,Course,,"Michael F. Walsh, Ph.D.",4.6stars,89,Approx. 18 hours to complete,Beginner,
"Professional development: Improve yourself, always",https://www.coursera.org/learn/professional-development-improve-yourself?specialization=adapting-career-development,"The world of work is characterised by rapid ongoing change. In this dynamic environment, one of the most critical skills for leaders is their capacity to learn and to adapt; to engage in the continuous development of their skills in managing and leading others. This course will assist you in the ongoing development of your skills and abilities by focusing on the nature of the self-development process. You will reflect on and develop self-awareness of your current leadership style to understand the strengths you need to develop and which challenges you will face as a leader. The course also examines the change process, and explores the processes of self-regulation that underpin personal skill development.",Business,Leadership and Management,Course,,Associate Professor Paul Nesbit,4.8stars,764,Approx. 17 hours to complete,Beginner,
Lessons on Wisdom: Personal Leadership for Your Life,https://www.coursera.org/learn/lessons-on-wisdom?specialization=strategic-leadership-impact-change-decision-making,"Lessons on Wisdom: Personal Leadership for Your Life is the culmination of four decades of studying and sharing about leaders and life for Professor Sydney Finkelstein. This course will teach you how to be a wise leader both personally and professionally. It is a personal, meaningful course that encourages all participants to change and grow. In it, you will be asked to think differently about who you are and what you do, so that you can take charge of your own life. By understanding nuance and paradox, by learning who you are as an individual, you will find yourself a wiser—and perhaps even happier—person.",Business,Leadership and Management,Course,"People Development,Change Management,Learning How To Learn,Leadership Development,Growth Strategies,",Sydney Finkelstein,4.9stars,19,Approx. 19 hours to complete,Beginner,
The Role of Global Capital Markets,https://www.coursera.org/learn/capital-markets?specialization=learn-finance,"In this course, participants will learn about how different markets around the world can interact to create value for, and effectively manage the risk of, corporations and their stakeholders. This is part of a Specialization in corporate finance created in partnership between the University of Melbourne and Bank of New York Mellon (BNY Mellon).",Business,Finance,Course,,Paul Kofman,4.6stars,573,Approx. 17 hours to complete,Beginner,
Identifying Patient Populations,https://www.coursera.org/learn/computational-phenotyping?specialization=clinical-data-science,"This course teaches you the fundamentals of computational phenotyping, a biomedical informatics method for identifying patient populations. In this course you will learn how different clinical data types perform when trying to identify patients with a particular disease or trait. You will also learn how to program different data manipulations and combinations to increase the complexity and improve the performance of your algorithms. Finally, you will have a chance to put your skills to the test with a real-world practical application where you develop a computational phenotyping algorithm to identify patients who have hypertension. You will complete this work using a real clinical data set while using a free, online computational environment for data science hosted by our Industry Partner Google Cloud.",Data Science,Data Analysis,Course,,"Laura K. Wiley, PhD",4.4stars,35,Approx. 13 hours to complete,Intermediate,
Fitting Statistical Models to Data with Python,https://www.coursera.org/learn/fitting-statistical-models-data-python?specialization=statistics-with-python,"In this course, we will expand our exploration of statistical inference techniques by focusing on the science and art of fitting statistical models to data. We will build on the concepts presented in the Statistical Inference course (Course 2) to emphasize the importance of connecting research questions to our data analysis methods. We will also focus on various modeling objectives, including making inference about relationships between variables and generating predictions for future observations.",Data Science,Probability and Statistics,Course,"Bayesian Statistics,Python Programming,Statistical Model,statistical regression,",Brenda Gunderson,4.4stars,647,Approx. 15 hours to complete,Intermediate,
Digitalisation in Space Research,https://www.coursera.org/learn/space?specialization=aerospace,This course provides an overview of the most important digital applications in the field of aerospace research. The course instructors discuss how digitalisation is impacting and changing both satellite-based and manned spaceflight research. One unit is specifically devoted to exploring the use of artificial intelligence in the evaluation of satellite data.,Physical Science and Engineering,Mechanical Engineering,Course,,Klaus Drechsler,4.8stars,73,Approx. 12 hours to complete,Intermediate,
Perspective-Taking,https://www.coursera.org/learn/perspectivetaking?specialization=strategicthinkingforeveryone,"You can plan what you want to accomplish, but other people will always be a factor. Planning for the actions of others can't be taken lightly. You need to understand what people want, but you also need to have your influence on the conversation. Ultimately, you can use this knowledge to plan for each scenario.",Personal Development,Personal Development,Course,,CareerCatalyst,,,Approx. 5 hours to complete,Beginner,
Drug Discovery ,https://www.coursera.org/learn/drug-discovery?specialization=drug-development-product-management,"The University of California San Diego, Skaggs School of Pharmacy and Pharmaceutical Sciences Drug Discovery course brings you lectures from both faculty and industry experts.   With this course, recorded on campus at UCSD, we seek to share our access to top people in the field who bring an unprecedented range of expertise on drug discovery.  ",Health,Healthcare Management,Course,"Pharmacology,Drug Development,Clinical Development,Pharmacokinetics,","Williams S. Ettouati, Pharm.D.",4.6stars,"3,360",Approx. 9 hours to complete,Beginner,
Battery Pack Balancing and Power Estimation,https://www.coursera.org/learn/battery-pack-balancing-power-estimation?specialization=algorithms-for-battery-management-systems,"This course can also be taken for academic credit as ECEA 5734, part of CU Boulder's Master of Science in Electrical Engineering degree.",Physical Science and Engineering,Electrical Engineering,Course,,Gregory Plett,4.9stars,87,Approx. 22 hours to complete,Intermediate,
Social Marketing Capstone Project,https://www.coursera.org/learn/social-marketing-capstone?specialization=social-media-marketing,"Your markets are on social and you need to be there. However, your social strategy needs to be based on the business metrics which define your success. This final Capstone Project in the Social Marketing Specialization will put the methodologies, tools, and insights you have learned to the test as you create a multifaceted plan to assure effective social marketing is an integral part of your business strategy. Whether your company has a sophisticated Engagement Strategy or you are a new start-up, you will learn to harness the full power of social marketing to grow provable market share and build stronger relationships with your high value markets. For success in today's digital world, you must have a plan to integrate your social and mobile marketing strategies into your business strategy. In this Capstone you will use the practical skills that you've mastered through the Specialization to demonstrate your ability to integrate social and mobile marketing strategies into a company's business strategy.",Business,Marketing,Course,"Social Media Marketing,Social Media,Budget,Planning,",Randy Hlavac,4.9stars,304,Approx. 5 hours to complete,Beginner,
"Musicianship: Chord Charts, Diatonic Chords, and Minor Keys",https://www.coursera.org/learn/musicianship-chords?specialization=musicianship-specialization,"After a tremendous response from learners on Coursera, Berklee Online has created a Developing Your Musicianship specialization, and this course is the second course in the series. If you have a basic knowledge of music theory or if you have completed Developing Your Musicianship I, this course will continue to help you understand key musical concepts, enabling you to create and perform contemporary music. Taught by Berklee College of Music professor George W. Russell, Jr., the course includes four lessons that delve into the next level of harmony and ear training. ",Arts and Humanities,Music and Art,Course,"Music Performance,Piano,Music,Music composition,Music theory,","George W. Russell, Jr.",4.9stars,538,Approx. 13 hours to complete,Intermediate,
The Define Phase for the 6 σ Black Belt,https://www.coursera.org/learn/thedefinephaseforsixisgmablackbelt?specialization=six-sigma-black-belt,"This course is designed for professionals interested in learning the principles of  Lean Sigma, the DMAIC process and DFSS. This course is number 3 of 8 in this specialization dealing with topics in the Define Phase of Six Sigma",Business,Business Essentials,Course,,Lois A. Jordan,4.3stars,40,Approx. 12 hours to complete,Beginner,
Capstone: Your Story,https://www.coursera.org/learn/story-writing-project?specialization=creative-writing,"Everything comes together in the Capstone.  You will draft a complete story, narrative essay, or memoir of 8–15 pages.  With the advice of your peer readers, you will revise, rewrite, and complete it. The skills you've learned of plotting, setting, physical description, characterization, and stylistic clarity and innovation will culminate in an original work of art all your own.  We'll discuss the steps that professional writers take to bring their work into the public world.  Along the way you'll learn the patient habits of revision that make up the writer's life.",Arts and Humanities,Music and Art,Course,,Salvatore Scibona,4.6stars,373,Approx. 7 hours to complete,Beginner,
SEL for Students: A Path to Social Emotional Well-Being,https://www.coursera.org/learn/sel-for-students?specialization=teacher-sel,"Social and emotional learning, or SEL, programs have flourished in schools during the last decade. In this course the instructor (Emily Price) introduces you to the history and framings of social and emotional learning preK-12 curricula, as well as various elementary, middle, and high school SEL programs and associated research.",Social Sciences,Education,Course,,Dan Liston,4.8stars,266,Approx. 13 hours to complete,Advanced,
